AWSのVPCフローログで、キャプチャできないトラフィックは？,1,Amazon DNS サーバーへのトラフィック,VPC ピアリングトラフィック,インターネットゲートウェイトラフィック,NATゲートウェイトラフィック
Amazon S3のマルチパートアップロードで、最小パートサイズと最大パート数は？,4,1MB と 1000,5MB と 5000,5MB と 10000,5MB と 10000
AWS WAFのWeb ACLで設定可能な最大ルール数は？,2,50,100,150,200
Amazon ElastiCacheで、Redisクラスターモードが有効な場合の最大シャード数は？,3,250,500,500,1000
AWS Step Functionsで、状態遷移の最大数はいくつですか？,1,25000,50000,75000,100000
Amazon RDSのRead Replicaで、ソースインスタンスとは異なるDBエンジンバージョンを使用できる機能は？,4,バージョンアップグレード,クロスリージョンレプリケーション,マルチAZデプロイメント,バージョンフレキシブルレプリケーション
AWS CloudTrailで、管理イベントとデータイベントの保持期間の違いは？,2,同じ,管理イベントの方が長い,データイベントの方が長い,設定による
Amazon DynamoDBのグローバルセカンダリインデックス（GSI）の最大数は？,3,5,10,20,50
AWS Direct Connectの最大帯域幅は？,1,100 Gbps,40 Gbps,10 Gbps,1 Gbps
Amazon EKSのKubernetes versionで、サポートされる最大のマイナーバージョン数は？,4,2,3,4,3
