AWSの全称は何ですか？,2,Amazon Web Services,Amazon World Services,Amazon Wide Services,Amazon Wireless Services
EC2の略称は何ですか？,3,Elastic Cloud Computing,Easy Cloud Computing,Elastic Compute Cloud,Extended Compute Cloud
S3の略称は何ですか？,4,Simple Storage System,Scalable Storage Service,Secure Storage System,Simple Storage Service
AWSのデータベースサービスで、リレーショナルデータベース用のものは？,1,RDS,DynamoDB,Redshift,Neptune
AWSの仮想ネットワークサービスは？,2,ECS,VPC,ELB,Route 53
AWSのコンテナオーケストレーションサービスは？,3,ECR,EKS,ECS,Fargate
AWSのサーバーレスコンピューティングサービスは？,1,Lambda,EC2,Batch,ECS
AWSのコンテンツ配信ネットワーク（CDN）サービスは？,4,CloudFront,S3,Route 53,CloudFront
AWSの負荷分散サービスは？,2,EC2,ELB,ALB,NLB
AWSのDNSサービスは？,3,CloudFront,VPC,Route 53,Direct Connect
